,player_id,player_name,club,birthday,age,foot,squad_num,total_xG,total_xA,total_xG+xA,goals,xG+xA/90,transfer_value(USD),total_minutes_played
0,24256.0,Emmanuel Gigliotti,Squad Club Atlético Independiente,"May 20, 1987 (31)",31,right,9.0,6.239999771118164,2.84,9.08,12.0,0.84,3.43,977.97
1,488.0,Lisandro López,Squad Racing Club,"Mar 2, 1983 (35)",35,right,15.0,5.260000228881836,1.27,6.53,9.0,0.63,2.01,937.47
2,16081.0,Luis Rodríguez,Squad Club Atlético Tucumán,"Jan 1, 1985 (33)",33,right,7.0,5.010000228881836,1.55,6.56,7.0,0.71,1.71,827.9
3,101.0,Darío Cvitanich,Squad Club Atlético Banfield,"May 16, 1984 (34)",34,right,20.0,4.730000019073486,1.17,5.9,5.0,0.55,1.71,969.08
4,93853.0,Franco Soldano,Squad Club Atlético Unión (Santa Fe),"Sep 14, 1994 (24)",24,right,27.0,4.25,2.27,6.52,2.0,0.55,5.71,1060.35
5,17217.0,Jonatan Cristaldo,Squad Racing Club,"Mar 5, 1989 (29)",29,right,9.0,4.2199997901916495,1.16,5.38,3.0,0.62,1.37,782.38
6,20195.0,Sebastián Ribas,Squad Club Atlético Lanús,"Mar 11, 1988 (30)",30,right,37.0,3.880000114440918,0.77,4.65,3.0,0.45,1.71,931.73
7,15113.0,Claudio Bieler,Squad Club Atlético San Martín (Tucumán),"Mar 1, 1984 (34)",34,right,9.0,3.869999885559082,0.98,4.85,3.0,0.37,0.57,1169.02
8,30266.0,Cristian Chávez,Squad Club Atlético Aldosivi,"Jun 4, 1987 (31)",31,right,11.0,3.869999885559082,1.12,4.99,4.0,0.45,0.57,998.27
9,98292.0,Facundo Barceló,Squad Club Atlético Patronato de la Juventud Católica,"Mar 31, 1993 (25)",25,right,31.0,3.859999895095825,1.42,5.28,6.0,0.79,0.57,598.92
10,135386.0,Leonardo Sequeira,Squad Club Atlético Belgrano,"Apr 26, 1995 (23)",23,right,26.0,3.7899999618530273,0.36,4.15,2.0,0.41,1.71,910.88
11,3148.0,Santiago Silva,Squad Club de Gimnasia y Esgrima La Plata,"Dec 9, 1980 (37)",37,right,9.0,3.759999990463257,2.25,6.01,4.0,0.5,0.34,1071.9
12,31939.0,Santiago García,Squad Club Deportivo Godoy Cruz Antonio Tomba,"Sep 14, 1990 (28)",28,right,18.0,3.740000009536743,1.26,5.0,3.0,0.45,6.86,1010.22
13,39414.0,Fernando Zampedri,Squad Club Atlético Rosario Central,"Feb 14, 1988 (30)",30,right,20.0,3.609999895095825,2.29,5.9,4.0,0.61,3.43,876.07
14,172565.0,Nicolás Reniero,Squad Club Atlético San Lorenzo de Almagro,"Mar 18, 1995 (23)",23,right,15.0,3.359999895095825,2.31,5.67,3.0,0.58,2.29,877.33
15,47913.0,Javier Correa,Squad Club Atlético Colón,"Oct 23, 1992 (26)",26,right,11.0,3.0,0.37,3.37,3.0,0.34,4.57,882.7
16,9146.0,Germán Herrera,Squad Club Atlético Rosario Central,"Jul 19, 1983 (35)",35,right,17.0,2.9600000381469727,2.39,5.35,2.0,1.31,0.34,367.05
17,114108.0,Nicolás Fernández,Squad Club Social y Deportivo Defensa y Justicia,"Feb 8, 1996 (22)",22,right,29.0,2.9500000476837163,1.73,4.68,3.0,0.56,3.43,753.72
18,17266.0,Mauricio Sperduti,Squad Club Atlético Patronato de la Juventud Católica,"Feb 16, 1986 (32)",32,right,14.0,2.9300000667572017,0.68,3.61,3.0,0.33,0.57,981.05
19,193188.0,Gastón Togni,Squad Club Social y Deportivo Defensa y Justicia,"Sep 20, 1997 (21)",21,left,7.0,2.8299999237060547,0.73,3.56,2.0,0.38,0.17,850.83
20,144.0,Carlos Tevez,Squad Club Atlético Boca Juniors,"Feb 5, 1984 (34)",34,right,32.0,2.8199999332427983,1.73,4.55,3.0,0.63,2.86,651.87
21,167990.0,Luís Leal,Squad Club Atlético Newell's Old Boys,"May 29, 1987 (31)",31,right,7.0,2.75,1.71,4.46,1.0,0.48,1.37,842.68
22,203.0,Mariano Pavone,Squad Club Estudiantes de La Plata,"May 27, 1982 (36)",36,both,16.0,2.690000057220459,1.71,4.4,2.0,0.56,0.46,705.35
23,36681.0,Víctor Figueroa,Squad Club Atlético Newell's Old Boys,"Sep 29, 1983 (35)",35,right,16.0,2.640000104904175,0.16,2.8,1.0,0.41,0.23,619.68
24,121341.0,Héctor Fértoli,Squad Club Atlético Newell's Old Boys,"Dec 3, 1994 (24)",24,right,26.0,2.509999990463257,0.87,3.38,3.0,0.36,0.8,855.13
25,150346.0,Pablo Alvarenga,Squad Club Atlético San Martín (SJ),"Jun 22, 1988 (30)",30,-,33.0,2.450000047683716,0.8,3.25,1.0,0.56,,524.35
26,55210.0,Nicolás Blandi,Squad Club Atlético San Lorenzo de Almagro,"Jan 13, 1990 (28)",28,right,9.0,2.4200000762939453,0.98,3.4,4.0,0.72,6.29,422.92
27,185745.0,Lucas Robertone,Squad Club Atlético Vélez Sarsfield,"Mar 18, 1997 (21)",21,right,16.0,2.400000095367432,1.1,3.5,2.0,0.36,3.43,881.5
28,87323.0,Ricardo Centurión,Squad Racing Club,"Jan 19, 1993 (25)",25,right,10.0,2.380000114440918,0.74,3.12,2.0,0.46,5.71,607.35
29,66503.0,Augusto Solari,Squad Racing Club,"Jan 3, 1992 (26)",26,right,18.0,2.369999885559082,1.77,4.14,3.0,0.48,4.0,773.95
30,618.0,Mauro Zárate,Squad Club Atlético Boca Juniors,"Mar 18, 1987 (31)",31,right,19.0,2.359999895095825,0.5,2.86,1.0,0.44,2.29,584.9
31,31807.0,Mauro Matos,Squad Club Atlético Tucumán,"Aug 6, 1982 (36)",36,right,18.0,2.3299999237060547,1.17,3.5,3.0,0.45,0.29,697.78
32,163041.0,Alexander Barboza,Squad Club Social y Deportivo Defensa y Justicia,"Mar 16, 1995 (23)",23,left,6.0,2.299999952316284,1.01,3.31,1.0,0.35,2.86,854.42
33,17135.0,Matías Suárez,Squad Club Atlético Belgrano,"May 9, 1988 (30)",30,both,10.0,2.289999961853028,1.29,3.58,1.0,0.34,2.86,944.2
34,77944.0,Washington Camacho,Squad Club Atlético Rosario Central,"Apr 8, 1986 (32)",32,left,15.0,2.289999961853028,0.58,2.87,2.0,0.29,0.57,892.1
35,209887.0,Gastón Verón,Squad Asociación Atlética Argentinos Juniors,"Apr 23, 2001 (17)",17,right,16.0,2.2699999809265137,0.25,2.52,1.0,0.39,,577.35
36,84739.0,Braian Romero,Squad Club Atlético Independiente,"Jun 15, 1991 (27)",27,right,17.0,2.259999990463257,0.96,3.22,3.0,1.04,2.86,277.85
37,117606.0,Junior Arias,Squad Club Atlético Talleres,"May 17, 1993 (25)",25,right,9.0,2.2300000190734863,0.78,3.01,3.0,0.34,2.29,808.37
38,193168.0,Tomás Belmonte,Squad Club Atlético Lanús,"May 27, 1998 (20)",20,right,13.0,2.220000028610229,1.32,3.54,2.0,0.3,0.46,1080.0
39,172801.0,Nahuel Bustos,Squad Club Atlético Talleres,"Jul 4, 1998 (20)",20,right,7.0,2.1800000667572017,0.83,3.01,4.0,0.39,0.06,690.88
40,99085.0,Lucas Acevedo,Squad Club Atlético San Martín (Tucumán),"Nov 8, 1991 (27)",27,right,2.0,2.1700000762939453,1.23,3.4,1.0,0.26,0.29,1170.0
41,8611.0,Diego Vera,Squad Club Atlético Tigre,"Jan 5, 1985 (33)",33,right,19.0,2.1700000762939453,0.71,2.88,2.0,0.41,0.86,629.17
42,77919.0,Gonzalo Martínez,Squad Club Atlético River Plate,"Jun 13, 1993 (25)",25,left,10.0,2.1099998950958248,0.52,2.63,2.0,0.74,17.14,321.7
43,1325.0,Martín Bravo,Squad Club Atlético San Martín (SJ),"Sep 19, 1986 (32)",32,left,23.0,2.0799999237060547,1.54,3.62,3.0,0.44,0.91,734.07
44,118855.0,Nazareno Solís,Squad Club Atlético San Martín (SJ),"Apr 22, 1994 (24)",24,left,7.0,2.0699999332427983,0.56,2.63,1.0,0.4,0.69,597.05
45,44918.0,Gabriel Carabajal,Squad Club Atlético Patronato de la Juventud Católica,"Dec 9, 1991 (26)",26,right,30.0,2.009999990463257,1.07,3.08,1.0,0.27,0.57,1042.6
46,55267.0,Fernando Gaibor,Squad Club Atlético Independiente,"Oct 8, 1991 (27)",27,right,10.0,2.0,0.31,2.31,2.0,0.26,2.29,789.52
47,95766.0,Adrián Balboa,Squad Club Atlético Belgrano,"Jan 19, 1994 (24)",24,right,11.0,1.9900000095367432,1.18,3.17,1.0,0.47,0.86,605.65
48,172730.0,Nicolás Leguizamón,Squad Club Atlético Colón,"Jan 26, 1995 (23)",23,right,9.0,1.9600000381469729,1.45,3.41,0.0,0.73,1.71,420.22
49,177285.0,Matías Vargas,Squad Club Atlético Vélez Sarsfield,"May 8, 1997 (21)",21,right,26.0,1.9099999666213991,0.43,2.34,2.0,0.21,10.29,1024.73
50,131511.0,Francisco Illarregui,Squad Asociación Atlética Argentinos Juniors,"May 6, 1997 (21)",21,-,27.0,1.8999999761581419,1.35,3.25,1.0,0.76,0.17,386.5
51,43746.0,Edwin Cardona,Squad Club Atlético Boca Juniors,"Dec 8, 1992 (25)",25,right,10.0,1.8899999856948853,0.34,2.23,2.0,0.31,6.29,639.88
52,39578.0,Lucas Gamba,Squad Club Atlético Huracán,"Jun 24, 1987 (31)",31,right,21.0,1.8899999856948853,1.14,3.03,4.0,0.33,2.01,825.42
53,72225.0,Andrés Chávez,Squad Club Atlético Huracán,"Mar 21, 1991 (27)",27,left,9.0,1.8600000143051147,0.6,2.46,2.0,0.34,2.86,656.65
54,175369.0,Franco Troyansky,Squad Club Atlético Unión (Santa Fe),"Jun 3, 1997 (21)",21,left,22.0,1.8400000333786009,1.4,3.24,1.0,0.49,1.44,590.58
55,186085.0,Matías Zaracho,Squad Racing Club,"Mar 10, 1998 (20)",20,right,28.0,1.8200000524520876,0.93,2.75,0.0,0.35,4.0,707.92
56,17090.0,Mauro Formica,Squad Club Atlético Newell's Old Boys,"Apr 4, 1988 (30)",30,right,33.0,1.809999942779541,0.68,2.49,1.0,0.34,2.06,660.8
57,81286.0,Guillermo Fernández,Squad Racing Club,"Oct 11, 1991 (27)",27,right,8.0,1.7400000095367432,1.22,2.96,3.0,0.31,4.57,855.43
58,89135.0,Gabriel Ávalos,Squad Club Deportivo Godoy Cruz Antonio Tomba,"Oct 12, 1990 (28)",28,right,9.0,1.7300000190734863,0.7,2.43,2.0,1.42,0.23,153.63
59,89025.0,Fabián Noguera,Squad Club Estudiantes de La Plata,"Mar 20, 1993 (25)",25,right,18.0,1.7100000381469729,0.6,2.31,2.0,0.24,0.69,854.87
60,185878.0,Juan Brunetta,Squad Club Atlético Belgrano,"May 12, 1997 (21)",21,left,17.0,1.7000000476837158,0.76,2.46,1.0,0.31,1.44,723.78
61,103537.0,David Barbona,Squad Club Atlético Tucumán,"Feb 22, 1995 (23)",23,right,19.0,1.690000057220459,0.5,2.19,1.0,0.35,2.29,563.9
62,68605.0,Lucas Menossi,Squad Club Atlético Tigre,"Jul 20, 1992 (26)",26,right,5.0,1.6200000047683716,0.58,2.2,3.0,0.22,1.71,918.88
63,136659.0,Ángel González,Squad Club Deportivo Godoy Cruz Antonio Tomba,"May 16, 1994 (24)",24,right,8.0,1.6000000238418581,0.56,2.16,3.0,0.26,2.86,733.78
64,8907.0,Federico González,Squad Club Atlético Tigre,"Jan 6, 1987 (31)",31,right,9.0,1.559999942779541,0.42,1.98,3.0,0.3,0.91,587.93
65,70297.0,Juan Ramírez,Squad Club Atlético Talleres,"May 25, 1993 (25)",25,left,20.0,1.5499999523162842,0.36,1.91,1.0,0.17,2.29,1039.6
66,19754.0,Enzo Kalinski,Squad Club Atlético Banfield,"Mar 10, 1987 (31)",31,right,23.0,1.5499999523162842,1.01,2.56,2.0,0.25,0.91,934.98
67,94725.0,Horacio Tijanovich,Squad Club de Gimnasia y Esgrima La Plata,"Feb 28, 1996 (22)",22,right,11.0,1.5499999523162842,0.72,2.27,0.0,0.24,0.57,834.62
68,172756.0,Agustín Bouzat,Squad Club Atlético Vélez Sarsfield,"Mar 28, 1994 (24)",24,left,10.0,1.5199999809265137,0.62,2.14,0.0,0.2,2.01,963.38
69,68341.0,Diego Zabala,Squad Club Atlético Unión (Santa Fe),"Sep 19, 1991 (27)",27,right,11.0,1.5199999809265137,0.99,2.51,3.0,0.21,2.29,1067.33
70,119431.0,Matías Rojas,Squad Club Social y Deportivo Defensa y Justicia,"Nov 3, 1995 (23)",23,left,26.0,1.4900000095367432,0.55,2.04,5.0,0.26,0.34,710.7
71,49584.0,Gervasio Núñez,Squad Club Atlético Tucumán,"Jan 29, 1988 (30)",30,left,10.0,1.4800000190734863,0.39,1.87,0.0,0.25,1.14,682.8
72,42505.0,Jhonathan Ramis,Squad Club Atlético Vélez Sarsfield,"Nov 6, 1989 (29)",29,right,11.0,1.4600000381469729,0.42,1.88,1.0,0.34,0.8,495.37
73,28126.0,Lucas Pratto,Squad Club Atlético River Plate,"Jun 4, 1988 (30)",30,right,27.0,1.4600000381469729,0.71,2.17,0.0,0.27,6.86,723.43
74,30012.0,Rodrigo Salinas,Squad Club Atlético Vélez Sarsfield,"Jun 4, 1986 (32)",32,right,9.0,1.440000057220459,0.31,1.75,2.0,0.56,0.46,280.97
75,44574.0,Marco Ruben,Squad Club Atlético Rosario Central,"Oct 26, 1986 (32)",32,right,9.0,1.4299999475479126,0.48,1.91,0.0,0.24,2.86,702.68
76,54702.0,Rodrigo Mora,Squad Club Atlético River Plate,"Oct 29, 1987 (31)",31,right,7.0,1.4199999570846558,0.57,1.99,2.0,0.51,2.01,348.97
77,29128.0,Denis Stracqualursi,Squad Club Atlético Aldosivi,"Oct 20, 1987 (31)",31,right,22.0,1.3899999856948853,0.7,2.09,1.0,0.35,0.57,533.33
78,122082.0,Franco Cristaldo,Squad Club Atlético San Martín (SJ),"Aug 15, 1996 (22)",22,right,32.0,1.3799999952316284,1.1,2.48,0.0,0.45,0.46,492.02
79,121814.0,Leonardo Heredia,Squad Club Atlético Colón,"Jan 11, 1996 (22)",22,right,21.0,1.3799999952316284,0.46,1.84,3.0,0.21,0.06,800.87
80,193955.0,Nicolás Domínguez,Squad Club Atlético Vélez Sarsfield,"Jun 28, 1998 (20)",20,right,28.0,1.3600000143051147,0.29,1.65,2.0,0.13,4.57,1134.6
81,71946.0,Franco Fragapane,Squad Club Atlético Unión (Santa Fe),"Jun 2, 1993 (25)",25,right,7.0,1.350000023841858,0.23,1.58,2.0,0.17,1.14,860.42
82,40397.0,Matías Pisano,Squad Club Atlético Aldosivi,"Dec 13, 1991 (26)",26,left,10.0,1.350000023841858,0.55,1.9,3.0,0.21,1.44,804.13
83,77892.0,Joel Amoroso,Squad Club Atlético Newell's Old Boys,"Jan 8, 1988 (30)",30,right,15.0,1.3300000429153442,0.46,1.79,0.0,0.22,0.46,719.62
84,189736.0,Alexis Mac Allister,Squad Asociación Atlética Argentinos Juniors,"Dec 24, 1998 (19)",19,right,10.0,1.3300000429153442,0.84,2.17,1.0,0.43,4.57,459.08
85,69105.0,Miguel Araujo,Squad Club Atlético Talleres,"Oct 24, 1994 (24)",24,right,4.0,1.3200000524520874,0.49,1.81,0.0,0.24,0.57,675.0
86,179961.0,Gonzalo Maroni,Squad Club Atlético Talleres,"Mar 18, 1999 (19)",19,right,10.0,1.3200000524520874,0.13,1.45,2.0,0.19,0.86,681.3
87,147570.0,Tomás Cardona,Squad Club Deportivo Godoy Cruz Antonio Tomba,"Oct 10, 1995 (23)",23,left,6.0,1.309999942779541,0.39,1.7,1.0,0.14,3.43,1080.0
88,85349.0,Juan Ignacio Cavallaro,Squad Club Atlético Tigre,"Jun 28, 1994 (24)",24,right,15.0,1.2899999618530271,0.27,1.56,2.0,0.29,1.44,488.47
89,199230.0,Ignacio Huguenet,Squad Club Social y Deportivo Defensa y Justicia,"May 5, 1998 (20)",20,right,30.0,1.2899999618530271,0.77,2.06,0.0,0.54,,346.43
90,175890.0,Kevin Mac Allister,Squad Asociación Atlética Argentinos Juniors,"Nov 7, 1997 (21)",21,right,4.0,1.2899999618530271,0.9,2.19,0.0,0.27,1.71,720.0
91,70018.0,Nicolás Royón,Squad Club Atlético Patronato de la Juventud Católica,"Jan 28, 1991 (27)",27,right,32.0,1.2899999618530271,0.78,2.07,0.0,0.31,0.34,601.28
92,29345.0,Fernando Telechea,Squad Club Atlético Aldosivi,"Oct 6, 1981 (37)",37,right,9.0,1.2799999713897705,0.72,2.0,0.0,0.41,0.23,444.2
93,81291.0,Diego Mendoza,Squad Club Atlético Huracán,"Sep 30, 1992 (26)",26,right,16.0,1.2699999809265137,0.0,1.27,3.0,0.48,0.34,238.77
94,123767.0,Victorio Ramis,Squad Club Deportivo Godoy Cruz Antonio Tomba,"Jul 7, 1994 (24)",24,right,11.0,1.2699999809265137,0.55,1.82,0.0,0.39,3.15,423.75
95,99008.0,Andrés Roa,Squad Club Atlético Huracán,"Apr 17, 1993 (25)",25,right,10.0,1.2599999904632568,0.45,1.71,3.0,0.25,0.34,624.67
96,199203.0,Francisco Apaolaza,Squad Club Estudiantes de La Plata,"Jun 19, 1997 (21)",21,right,19.0,1.25,0.0,1.25,1.0,0.18,0.17,611.57
97,8904.0,Silvio Romero,Squad Club Atlético Independiente,"Jul 22, 1988 (30)",30,right,18.0,1.25,0.8,2.05,2.0,0.39,4.0,478.08
98,162738.0,Lucas Rodríguez,Squad Club Estudiantes de La Plata,"Apr 27, 1997 (21)",21,right,9.0,1.2300000190734863,0.39,1.62,0.0,0.14,3.43,1070.68
99,65598.0,Lorenzo Faravelli,Squad Club de Gimnasia y Esgrima La Plata,"Mar 29, 1993 (25)",25,right,8.0,1.2200000286102295,0.23,1.45,1.0,0.15,0.91,856.47
100,70512.0,Matías García,Squad Club Atlético San Martín (Tucumán),"Oct 22, 1991 (27)",27,left,10.0,1.2200000286102295,0.3,1.52,1.0,0.12,0.2,1170.0
101,49043.0,Raúl Bobadilla,Squad Asociación Atlética Argentinos Juniors,"Jun 18, 1987 (31)",31,right,25.0,1.2100000381469729,0.15,1.36,0.0,0.22,2.01,566.97
102,19622.0,Marcelo Estigarribia,Squad Club Atlético Colón,"Sep 21, 1987 (31)",31,left,28.0,1.2100000381469729,0.43,1.64,1.0,0.14,1.14,1035.0
103,33777.0,Fabricio Fontanini,Squad Club Atlético Newell's Old Boys,"Mar 30, 1990 (28)",28,right,24.0,1.190000057220459,0.23,1.42,2.0,0.12,0.69,1080.0
104,16278.0,Renzo Vera,Squad Club Atlético Patronato de la Juventud Católica,"Jun 1, 1983 (35)",35,right,33.0,1.190000057220459,0.2,1.39,1.0,0.15,0.2,838.52
105,111421.0,Cristian Pavón,Squad Club Atlético Boca Juniors,"Jan 21, 1996 (22)",22,right,7.0,1.1799999475479126,0.48,1.66,2.0,0.27,22.86,553.93
106,166900.0,Nicolás De La Cruz,Squad Club Atlético River Plate,"Jun 1, 1997 (21)",21,right,11.0,1.1799999475479126,0.74,1.92,1.0,0.69,4.57,251.83
107,39796.0,Federico Lértora,Squad Club Atlético Belgrano,"Jul 1, 1990 (28)",28,right,14.0,1.1699999570846558,0.24,1.41,0.0,0.12,1.44,1080.0
108,97738.0,Emanuel Brítez,Squad Club Atlético Independiente,"Mar 26, 1992 (26)",26,right,23.0,1.1699999570846558,0.66,1.83,1.0,0.22,1.14,748.82
109,63200.0,Ezequiel Rescaldani,Squad Club Atlético Patronato de la Juventud Católica,"Jun 11, 1992 (26)",26,right,29.0,1.1599999666213991,0.72,1.88,0.0,0.36,0.57,476.05
110,34544.0,Emmanuel Mas,Squad Club Atlético Boca Juniors,"Jan 15, 1989 (29)",29,left,3.0,1.1599999666213991,0.77,1.93,0.0,0.21,2.86,810.0
111,116885.0,Marcelino Moreno,Squad Club Atlético Lanús,"Jun 25, 1995 (23)",23,right,25.0,1.149999976158142,0.56,1.71,0.0,0.22,1.14,705.97
112,29111.0,Jonatan Schunke,Squad Club Estudiantes de La Plata,"Feb 22, 1987 (31)",31,right,6.0,1.1399999856948853,0.32,1.46,0.0,0.13,2.06,990.0
113,204671.0,Tomás Chancalay,Squad Club Atlético Colón,"Jan 1, 1999 (19)",19,right,12.0,1.1399999856948853,0.47,1.61,2.0,0.27,3.15,528.48
114,17271.0,Diego Morales,Squad Club Atlético Tigre,"Nov 29, 1986 (32)",32,right,11.0,1.1200000047683716,0.55,1.67,1.0,0.2,0.86,741.98
115,215760.0,Matías Pellegrini,Squad Club Estudiantes de La Plata,"Mar 11, 2000 (18)",18,left,8.0,1.1100000143051147,0.27,1.38,2.0,0.23,,541.95
116,60730.0,Gastón Giménez,Squad Club Atlético Vélez Sarsfield,"Jul 27, 1991 (27)",27,left,30.0,1.100000023841858,0.94,2.04,0.0,0.16,2.29,1126.45
